.1.3.6.1.2.1.1.1.0 Hardware: Intel64 Family 6 Model 85 Stepping 4 AT/AT COMPATIBLE - Software: Windows Version 6.3 (Build 14393 Multiprocessor Free)
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.311.1.1.3.1.2
.1.3.6.1.2.1.2.2.1.6.15
.1.3.6.1.2.1.2.2.1.6.16 "80 30 E0 3B 97 04 "
.1.3.6.1.2.1.2.2.1.6.17 "80 30 E0 3B 97 04 "
.1.3.6.1.2.1.2.2.1.6.18 "80 30 E0 3B 97 05 "
.1.3.6.1.2.1.2.2.1.6.19 "80 30 E0 3B 97 04 "
.1.3.6.1.2.1.2.2.1.6.20 "80 30 E0 3B 97 05 "
.1.3.6.1.2.1.2.2.1.6.21 "80 30 E0 3B 97 04 "
.1.3.6.1.2.1.2.2.1.6.22 "80 30 E0 3B 97 06 "
.1.3.6.1.2.1.2.2.1.6.23 "80 30 E0 3B 97 05 "
.1.3.6.1.2.1.2.2.1.6.24 "80 30 E0 3B 97 06 "
.1.3.6.1.2.1.2.2.1.6.25 "80 30 E0 3B 97 04 "
.1.3.6.1.2.1.2.2.1.6.26 "80 30 E0 3B 97 07 "
.1.3.6.1.2.1.2.2.1.6.27 "80 30 E0 3B 97 05 "
.1.3.6.1.2.1.2.2.1.6.28 "80 30 E0 3B 97 06 "
.1.3.6.1.2.1.2.2.1.6.29 "80 30 E0 3B 97 07 "
.1.3.6.1.2.1.2.2.1.6.30 "80 30 E0 3B 97 06 "
.1.3.6.1.2.1.2.2.1.6.31 "80 30 E0 3B 97 07 "
.1.3.6.1.2.1.2.2.1.6.32 "80 30 E0 3B 97 07 "
.1.3.6.1.2.1.2.2.1.7.1 1
.1.3.6.1.2.1.2.2.1.7.2 2
.1.3.6.1.2.1.2.2.1.7.3 2
.1.3.6.1.2.1.2.2.1.7.4 2
.1.3.6.1.2.1.2.2.1.7.5 2
.1.3.6.1.2.1.2.2.1.7.6 2
.1.3.6.1.2.1.2.2.1.7.7 1
.1.3.6.1.2.1.2.2.1.7.8 2
.1.3.6.1.2.1.2.2.1.7.9 1
.1.3.6.1.2.1.2.2.1.7.10 1
.1.3.6.1.2.1.2.2.1.7.11 2
.1.3.6.1.2.1.2.2.1.7.12 2
.1.3.6.1.2.1.2.2.1.7.13 2
.1.3.6.1.2.1.2.2.1.7.14 2
.1.3.6.1.2.1.2.2.1.7.15 2
.1.3.6.1.2.1.2.2.1.7.16 1
.1.3.6.1.2.1.2.2.1.7.17 1
.1.3.6.1.2.1.2.2.1.7.18 1
.1.3.6.1.2.1.2.2.1.7.19 1
.1.3.6.1.2.1.2.2.1.7.20 1
.1.3.6.1.2.1.2.2.1.7.21 1
.1.3.6.1.2.1.2.2.1.7.22 1
.1.3.6.1.2.1.2.2.1.7.23 1
.1.3.6.1.2.1.2.2.1.7.24 1
